Subcellular location ID	Name	Category	Gene Ontologies	Is a	Description	Keyword	Synonyms	Links	References	Note	Content	Is part of	Statistics
SL-0344	Protein storage vacuole lumen	Cellular component	GO:0034495:protein storage vacuole lumen	SL-0270; Vacuole lumen; LOCATION	The protein storage vacuolar compartment bounded by the membrane of the protein storage vacuole.		Protein storage vacuolar lumen				Protein storage vacuole lumen	SL-0228; Protein storage vacuole; LOCATION	reviewed:1; annotated:0
SL-0345	Recycling endosome lumen	Cellular component	GO:0034777:recycling endosome lumen	SL-0327; Endosome lumen; LOCATION	The recycling endosomal compartment bounded by the membrane of the recycling endosome.		Recycling endosomal lumen				Recycling endosome lumen	SL-0232; Recycling endosome; LOCATION	reviewed:1; annotated:0
SL-0346	Rhoptry lumen	Cellular component	GO:0034591:rhoptry lumen	SL-0347; Secretory vesicle lumen; LOCATION	The rhoptry compartment bounded by the membrane of a rhoptry.						Cytoplasmic vesicle, secretory vesicle, rhoptry lumen	SL-0233; Rhoptry; LOCATION	reviewed:1; annotated:0
SL-0347	Secretory vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	The secretory vesicle compartment bounded by the membrane of the secretory vesicle.		Secretory granule lumen				Cytoplasmic vesicle, secretory vesicle lumen	SL-0244; Secretory vesicle; LOCATION	reviewed:85; annotated:2572
SL-0348	Synaptic vesicle lumen	Cellular component	GO:0034592:synaptic vesicle lumen	SL-0347; Secretory vesicle lumen; LOCATION	The synaptic vesicle compartment bounded by the membrane of a synaptic vesicle.		Synaptic vesicular lumen				Cytoplasmic vesicle, secretory vesicle, synaptic vesicle lumen	SL-0259; Synaptic vesicle; LOCATION	reviewed:0; annotated:0
SL-0349	Chromaffin granule lumen	Cellular component	GO:0034466:chromaffin granule lumen	SL-0347; Secretory vesicle lumen; LOCATION	The chromaffin granule comparment bounded by the chromaffin granule membrane.		Chromaffin granular lumen				Cytoplasmic vesicle, secretory vesicle, chromaffin granule lumen	SL-0061; Chromaffin granule; LOCATION	reviewed:13; annotated:1099
SL-0350	Cyanelle stroma	Cellular component	GO:0034060:cyanelle stroma	SL-0215; Plastid stroma; LOCATION	The internal space enclosed by the cyanelle double membrane but excluding the thylakoid space. This space, filled with a colorless hydrophilic matrix, contains DNA, ribosomes and some temporary products of photosynthesis.						Plastid, cyanelle stroma	SL-0082; Cyanelle; LOCATION	reviewed:1; annotated:0
SL-0351	Organellar chromatophore	Cellular component	GO:0070111:organellar chromatophore	SL-0209; Plastid; LOCATION	The organellar chromatophore is the photosynthetic inclusion found in Paulinella species, which are photosynthetic thecate amoeba. It probably derives from a different endosymbiotic event than that which led to all other plastids. Houses the machinery necessary for photosynthesis and CO(2) fixation and may also be able to make a few amino acids, some fatty acids and a few cofactors. They are surrounded by 2 membranes, between which is found a residual peptidoglycan wall, and contain thylakoids.	KW-0994					Plastid, organellar chromatophore		reviewed:51; annotated:3
SL-0352	Organellar chromatophore membrane	Cellular component	GO:0070112:organellar chromatophore membrane	SL-0213; Plastid membrane; LOCATION	One of the membranes of an organellar chromatophore. This term is used when it is not known with which membrane (outer membrane, inner membrane or thylakoid) a protein is associated. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore membrane	SL-0351; Organellar chromatophore; LOCATION	reviewed:0; annotated:0
SL-0353	Organellar chromatophore stroma	Cellular component		SL-0215; Plastid stroma; LOCATION	The internal space enclosed by the organellar chromatophore double membrane but excluding the thylakoid space. This space, filled with a colorless hydrophilic matrix, contains DNA, ribosomes and some temporary products of photosynthesis; other biosynthetic functions that could also occur there include amino acid, fatty acid and some cofactor biosynthesis. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.		Organellar chromatophore plasma				Plastid, organellar chromatophore stroma	SL-0351; Organellar chromatophore; LOCATION	reviewed:0; annotated:0
