Subcellular location ID	Name	Category	Gene Ontologies	Is a	Description	Keyword	Synonyms	Links	References	Note	Content	Is part of	Statistics
SL-0089	Cytoplasmic vesicle membrane	Cellular component	GO:0030659:cytoplasmic vesicle membrane	SL-0162; Membrane; LOCATION	The membrane surrounding a cytoplasmic vesicle. The cytoplasmic vesicles mediate vesicular transport among the organelles of secretory and endocytic systems.						Cytoplasmic vesicle membrane	SL-0088; Cytoplasmic vesicle; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:2326; annotated:258186
SL-0090	Cytoskeleton	Cellular component	GO:0005856:cytoskeleton		The cytoskeleton is a dynamic three-dimensional filamentous structure in the cytoplasm. Its roles include maintenance of cell shape, cell movement (in eukaryotes), cytokinesis, and the organization of organelles or organelle-like structures within the cell. The cytoskeleton includes microfilaments (actin-like proteins), microtubules (tubulin-like proteins), the intermediate filaments (mostly in eukaryotes) and the MinD-ParA proteins, which appear to be unique to prokaryotes.	KW-0206					Cytoplasm, cytoskeleton	SL-0086; Cytoplasm; LOCATION	reviewed:8225; annotated:980100
SL-0091	Cytosol	Cellular component	GO:0005829:cytosol		The cytosol is the unstructured aqueous phase of the cytoplasm excluding organelles, membranes, and insoluble cytoskeletal components.						Cytoplasm, cytosol	SL-0086; Cytoplasm; LOCATION	reviewed:4013; annotated:252929
SL-0092	Desmosome	Cellular component	GO:0030057:desmosome	SL-0038; Cell junction; LOCATION	A desmosome (DS) is a button-like adhesion complex that stabilizes epithelial sheets by anchoring the intermediate filament cytoskeleton to the cell junction. Desmosomes are found particularly in tissues subjected to mechanical stress.		DS, Macula adherens	http://celljunctions.med.nyu.edu/desmosomes/desframe.html		Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction, desmosome		reviewed:100; annotated:8954
SL-0093	Early endosome membrane	Cellular component	GO:0031901:early endosome membrane	SL-0100; Endosome membrane; LOCATION	The membrane surrounding the early endosomes, which form a tubulovesicular network spread throughout the cortical cytoplasm of the cell.		Early endosomal membrane				Early endosome membrane	SL-0094; Early endosome; LOCATION	reviewed:684; annotated:63212
SL-0094	Early endosome	Cellular component	GO:0005769:early endosome		Early endosomes form a tubulovesicular network spread throughout the cortical cytoplasm of the cell. Early endosomes are the primary sorting station in the endocytic pathway from which endocytosed molecules can be recycled back to the cell membrane or targeted to degradation in the lysosomes. Loaded by endocytosed molecules in 1 to 4 minutes, their acidic luminal pH around 6.0 allows ligand release from recycling receptors.					Compartment specific marker: EEA1; Rab5; Rab4.	Early endosome	SL-0101; Endosome; LOCATION	reviewed:1241; annotated:106613
SL-0095	Endoplasmic reticulum	Cellular component	GO:0005783:endoplasmic reticulum		The endoplasmic reticulum (ER) is an extensive network of membrane tubules, vesicles and flattened cisternae (sac-like structures) found throughout the eukaryotic cell, especially those responsible for the production of hormones and other secretory products. The membrane is a continuation of the outer nuclear membrane, it encloses the cytosol cisternal spaces (or internal lumen), which are continuous with the nuclear periplasmic space. The ER sustains many general functions, including protein synthesis, protein modification, protein folding, insertion of membrane proteins, sequestration of calcium, production of phospholipids and steroids and transport of proteins destined for membranes and secretion.	KW-0256				Compartment specific marker: PDI; calreticulin; calnexin.	Endoplasmic reticulum		reviewed:10155; annotated:1241832
SL-0096	Endoplasmic reticulum lumen	Cellular component	GO:0005788:endoplasmic reticulum lumen		The lumen of the endoplasmic reticulum (ER) is the area enclosed by the endoplasmic reticulum membrane, an extensive network of membrane tubules, vesicles and flattened cisternae (sac-like structures) found throughout the eukaryotic cell, especially those responsible for the production of hormones and other secretory products.						Endoplasmic reticulum lumen	SL-0095; Endoplasmic reticulum; LOCATION	reviewed:520; annotated:49469
SL-0097	Endoplasmic reticulum membrane	Cellular component	GO:0005789:endoplasmic reticulum membrane	SL-0162; Membrane; LOCATION	The membrane surrounding the endoplasmic reticulum (ER). The endoplasmic reticulum is an extensive network of membrane tubules, vesicles and flattened cisternae (sac-like structures) found throughout the eukaryotic cell, especially those responsible for the production of hormones and other secretory products.						Endoplasmic reticulum membrane	SL-0095; Endoplasmic reticulum; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:7569; annotated:983911
SL-0098	Endoplasmic reticulum-Golgi intermediate compartment	Cellular component	GO:0005793:endoplasmic reticulum-Golgi intermediate compartment		The ER-Golgi intermediate compartment is a collection of tubulovesicular membrane clusters in the vicinity of ER exit sites. The ERGIC mediates transport between the endoplasmic reticulum and the Golgi and is the first anterograde/retrograde sorting station in the secretory pathway. ERGIC has not been observed in yeast and plants.		ERGIC, ER-Golgi intermediate compartment, IC, Intermediate compartment, Vesiculo-tubular cluster, VTC			Compartment specific marker: LMAN1/ERGIC-53 (Also called P-58).	Endoplasmic reticulum-Golgi intermediate compartment		reviewed:356; annotated:18007
SL-0099	Endoplasmic reticulum-Golgi intermediate compartment membrane	Cellular component	GO:0033116:endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0162; Membrane; LOCATION	The membrane surrounding the ER-Golgi intermediate compartment, which is a collection of tubulovesicular membrane clusters in the vicinity of ER exit sites.		ERGIC membrane, ER-Golgi intermediate compartment membrane, IC membrane, Intermediate compartment membrane, Vesiculo-tubular cluster membrane, VTC membrane				Endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0098; Endoplasmic reticulum-Golgi intermediate compartment; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:247; annotated:17789
SL-0100	Endosome membrane	Cellular component	GO:0010008:endosome membrane	SL-0162; Membrane; LOCATION	The membrane surrounding the endosome. Endosomes are highly dynamic membrane systems involved in transport within the cell, they receive endocytosed cell membrane molecules and sort them for either degradation or recycling back to the cell surface.		Endosomal membrane				Endosome membrane	SL-0101; Endosome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:2348; annotated:235706
SL-0101	Endosome	Cellular component	GO:0005768:endosome		Endosomes are highly dynamic membrane systems involved in transport within the cell, they receive endocytosed cell membrane molecules and sort them for either degradation or recycling back to the cell surface. They also receive newly synthesised proteins destined for vacuolar/lysosomal compartments. In certain cell types, endosomal multivesicular bodies may fuse with the cell surface in an exocytic manner. These released vesicles are called exosomes.	KW-0967					Endosome		reviewed:3708; annotated:358574
SL-0108	Esterosome membrane	Cellular component	GO:0033118:esterosome membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	The membrane surrounding the esterosome, a crystalline inclusion body is a vesicle filled with crystals of proteins showing sequence similarities with various esterases.		Esterosomal membrane				Cytoplasmic vesicle, esterosome membrane	SL-0109; Esterosome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:2; annotated:0
SL-0109	Esterosome	Cellular component	GO:0033117:esterosome	SL-0088; Cytoplasmic vesicle; LOCATION	The esterosome is a crystalline inclusion body. This vesicle is filled with crystals of proteins showing sequence similarities with various esterases. The enclosing membrane has the characteristics of RER.						Cytoplasmic vesicle, esterosome		reviewed:2; annotated:0
SL-0110	Etioplast	Cellular component	GO:0009513:etioplast	SL-0209; Plastid; LOCATION	The etioplast is a plastid found in plants grown in the dark.						Plastid, etioplast		reviewed:14; annotated:1282
SL-0111	Extracellular matrix	Cellular component			The extracellular matrix (ECM) is a vague term used to refer to all the material surrounding cells in a multicellular organism, except circulating fluids such as blood or lymph. In some cases, the ECM accounts for more of the organism's bulk than its cells. In plants, arthropods and fungi the ECM is primarily composed of nonliving material such as cellulose or chitin. In vertebrates the ECM consists of a complex network including the basement membrane, collage, elastin, proteoglycans and hyaluronan.	KW-0272	Proteinaceous extracellular matrix				Secreted, extracellular space, extracellular matrix	SL-0112; Extracellular space; LOCATION	reviewed:1476; annotated:216268
SL-0112	Extracellular space	Cellular component	GO:0005576:extracellular region		The extracellular space is the space outside of the cell membrane but part of a multicellular organism. The term is typically used for a secreted protein that remains associated with the cell, e.g. as part of the extracellular matrix. It is not used for a protein that is secreted into the blood stream (or other body fluids) of eukaryotic, multicellular organisms, such as insulin or fibroblast growth factors.		Intercellular space				Secreted, extracellular space	SL-0243; Secreted; LOCATION	reviewed:2683; annotated:316408
SL-0113	Fimbrium	Cellular component	GO:0009289:pilus		A fimbrium or pilus is a hair-like, non-flagellar, polymeric filamentous appendage that extend from the bacterial or archaeal cell surface, such as type 1 pili, P-pili, type IV pili or curli. Pili perform a variety of functions, including surface adhesion, motility, cell-cell interactions, biofilm formation, conjugation, DNA uptake, and twitching motility.	KW-0281	Fimbria, Pili, Pilus				Fimbrium		reviewed:296; annotated:30468
SL-0114	Flagellum axoneme	Cellular component		SL-0304; Cilium axoneme; LOCATION	The flagellum axoneme is the most prominent structural component of the flagellum, which is a long whip-like or feathery structure which propels the cell through a liquid medium. The flagellum axoneme consists of a characteristic axial '9+2' microtubular array.		Flagellar axoneme				Cytoplasm, cytoskeleton, flagellum axoneme	SL-0117; Flagellum; LOCATION	reviewed:434; annotated:28562
SL-0115	Flagellum membrane	Cellular component		SL-0305; Cilium membrane; LOCATION	The portion of the cell membrane surrounding the flagellum, a long whip-like or feathery structure which propels the cell through a liquid medium.		Flagellar membrane				Cell projection, cilium, flagellum membrane	SL-0117; Flagellum; LOCATION	reviewed:68; annotated:742
SL-0116	Flagellar pocket	Cellular component	GO:0020016:ciliary pocket		The flagellar pocket is a structure found in trypanosomes. The flagellar pocket is formed by an invagination in the plasma membrane where the flagellum emerges from the cell body. This pocket provides the portal through which most of the dynamic interactions with the host occur.						Flagellar pocket		reviewed:6; annotated:0
SL-0117	Flagellum	Cellular component	GO:0031514:motile cilium	SL-0066; Cilium; LOCATION	The flagellum is a long whip-like or feathery structure which propels the cell through a liquid medium. This motile cilium is produced by the unicellular eukaryotes, and by the motile male gametes of many eukaryotic organisms. The flagella commonly have a characteristic axial '9+2' microtubular array (axoneme) and bends are generated along the length of the flagellum by restricted sliding of the nine outer doublets.	KW-0282	Flagella, Motile cilia, Motile cilium, Undulipodia, Undulipodium	http://www.ciliome.com			Cell projection, cilium, flagellum		reviewed:878; annotated:46660
SL-0118	Focal adhesion	Cellular component	GO:0005925:focal adhesion	SL-0038; Cell junction; LOCATION	Focal adhesions are sites of tightest adhesion made to the underlying extracellular matrix by cells in culture. They serve a structural role, linking the ECM on the outside to the actin cytoskeleton on the inside. In addition, they are sites of signal transduction, initiating signaling pathways in response to adhesion. Focal adhesions are formed around a transmembrane core of an alpha-beta integrin heterodimer, which binds to a component of the extracellular matrix on its extracellular region, constitutes the site of anchorage of the actin cytoskeleton to the cytoplasmic side of the membrane, and mediates various intracellular signaling pathways.			http://www-cellbio.med.unc.edu/grad/depttest/burridge.htm		Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction, focal adhesion		reviewed:390; annotated:30077
SL-0119	Forespore	Cellular component	GO:0042763:intracellular immature spore		Sporulation leads to the formation of an asymmetrically positioned division septum (the polar septum) which divides the developing cell into two adjacent, but unequal-sized compartments called the forespore (the smaller cell) and the mother cell.		Prespore		PubMed=15753026,  DOI=10.1016/j.cub.2005.02.041		Forespore		reviewed:37; annotated:0
SL-0120	Forespore inner membrane	Cellular component		SL-0122; Forespore membrane; LOCATION	The inner membrane of the smaller compartment, the forespore, of a sporulating cell.		Prespore inner membrane				Forespore inner membrane	SL-0119; Forespore; LOCATION	reviewed:5; annotated:0
SL-0121	Forespore intermembrane space	Cellular component			The intermembrane space between the inner and outer forespore membranes.		Prespore intermembrane space				Forespore intermembrane space	SL-0119; Forespore; LOCATION	reviewed:4; annotated:0
SL-0122	Forespore membrane	Cellular component		SL-0162; Membrane; LOCATION	The membrane surrounding a forespore. This term is used when it is not known if the protein is found in or associated with the inner or outer forespore membrane.		Prespore membrane				Forespore membrane	SL-0119; Forespore; LOCATION	reviewed:25; annotated:0
SL-0123	Forespore outer membrane	Cellular component		SL-0122; Forespore membrane; LOCATION	The outer membrane of the smaller compartment, the forespore, of a sporulating cell.		Prespore outer membrane				Forespore outer membrane	SL-0119; Forespore; LOCATION	reviewed:14; annotated:0
SL-0124	Gap junction	Cellular component	GO:0005921:gap junction	SL-0038; Cell junction; LOCATION	A gap junction (GJ) is a communicating junction between certain cell types that allows the passive passage of ions and small molecules providing a direct pathway for electrical and metabolic signaling. In vertebrates GJs are patches of channels, each cell membrane contains a 'hemichannel', so that each GJ channel is composed of two hemichannels (connexons), which in turn are composed of six membrane proteins (connexins (Cxs)). In invertebrates, GJ channels are formed by another large family of integral membrane proteins, the innexins. GJ exists in all metazoans (multi-cellular organisms) and in almost all cell types in these organisms.	KW-0303	Connexons			Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction, gap junction		reviewed:162; annotated:27828
SL-0125	Gas vesicle	Cellular component	GO:0031411:gas vesicle		Gas vesicles (GV) are hollow, watertight, gas-permeable proteinaceous nanostructures found in some microorganisms. During planktonic growth they allow positioning of the organism at a favorable depth for light or nutrient acquisition. By regulating their relative GV content, aquatic microbes can perform vertical migrations. The GV is impermeable to liquid water but is highly permeable to gases and is normally filled with air. As they scatter light, they may also protect against UV light. Two main proteins are present in the gas vesicle: GvpA, an extremely hydrophobic protein which makes the ribs that form the structure, and GvpC, which binds to the outside of the ribs, helps shape the GV and stiffens it against collapse.	KW-0304					Gas vesicle		reviewed:96; annotated:20389
SL-0126	Gas vesicle shell	Cellular component			The protein shell surrounding a gas vesicle.						Gas vesicle shell	SL-0125; Gas vesicle; LOCATION	reviewed:35; annotated:3202
SL-0127	Gem	Cellular component	GO:0097504:Gemini of coiled bodies	SL-0494; Nuclear body; LOCATION	Gems are nuclear bodies, often found paired or juxtaposed to Cajal bodies, called gems for "gemini of CBs". It is not clear if Cajal bodes and gems are distinct nuclear bodies or if they should be considered as two manifestations of the same structure.						Nucleus, gem	SL-0191; Nucleus; LOCATION	reviewed:40; annotated:1771
SL-0128	Glycosome membrane	Cellular component	GO:0046860:glycosome membrane	SL-0203; Peroxisome membrane; LOCATION	The membrane surrounding the the glycosome, a specialized peroxisome found in all members of the protist order Kinetoplastida examined.		Glycosomal membrane				Glycosome membrane	SL-0129; Glycosome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:0; annotated:0
SL-0129	Glycosome	Cellular component	GO:0020015:glycosome	SL-0204; Peroxisome; LOCATION	The glycosome is a specialized peroxisome found in all members of the protist order Kinetoplastida examined. Nine enzymes involved in glucose and glycerol metabolism are associated with these organelles. These enzymes are involved in pathways which, in other organisms, are usually located in the cytosol.	KW-0327					Glycosome		reviewed:31; annotated:39
SL-0130	Glyoxysome membrane	Cellular component	GO:0046861:glyoxysomal membrane	SL-0203; Peroxisome membrane; LOCATION	The membrane surrounding the glyoxysome, a plant peroxisome, especially found in germinating seeds, involved in the breakdown and conversion of fatty acids to acetyl-CoA for the glyoxylate bypass.		Glyoxysomal membrane				Glyoxysome membrane	SL-0131; Glyoxysome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:4; annotated:0
SL-0131	Glyoxysome	Cellular component	GO:0009514:glyoxysome	SL-0204; Peroxisome; LOCATION	The glyoxysome is a plant peroxisome, especially found in germinating seeds, involved in the breakdown and conversion of fatty acids to acetyl-CoA for the glyoxylate bypass. Since it is also rich in catalase, the glyoxysome may be related to the microbodies or peroxisomes or derived from them.	KW-0330					Glyoxysome		reviewed:79; annotated:2051
SL-0132	Golgi apparatus	Cellular component	GO:0005794:Golgi apparatus		The Golgi apparatus is a series of flattened, cisternal membranes and similar vesicles usually arranged in close apposition to each other to form stacks. In mammalian cells, the Golgi apparatus is juxtanuclear, often pericentriolar. The stacks are connected laterally by tubules to create a perinuclear ribbon structure, the 'Golgi ribbon'. In plants and lower animal cells, the Golgi exists as many copies of discrete stacks dispersed throughout the cytoplasm. The Golgi is a polarized structure with, in most higher eukaryotic cells, a cis-face associated with a tubular reticular network of membranes facing the endoplasmic reticulum, the cis-Golgi network (CGN), a medial area of disk-shaped flattened cisternae, and a trans-face associated with another tubular reticular membrane network, the trans-Golgi network (TGN) directed toward the plasma membrane and compartments of the endocytic pathway. The Golgi apparatus receives the entire output of de novo synthesized polypeptides from the ER, and functions to posttranslationally process and sort them within vesicles destined to their proper final destination (e.g. plasma membrane, endosomes, lysosomes).	KW-0333	Apparatus golgiensis, Complexus golgiensis, Golgi, Golgi complex			Compartment specific marker: GolgB1/Giantin.	Golgi apparatus		reviewed:6277; annotated:855963
SL-0133	Golgi apparatus lumen	Cellular component	GO:0005796:Golgi lumen		The Golgi lumen consist of the cisternal spaces (or internal lumen) of the Golgi apparatus.		Apparatus golgiensis lumen, Complexus golgiensis lumen, Golgi complex lumen, Golgi lumen				Golgi apparatus lumen	SL-0132; Golgi apparatus; LOCATION	reviewed:37; annotated:1191
SL-0134	Golgi apparatus membrane	Cellular component	GO:0000139:Golgi membrane	SL-0162; Membrane; LOCATION	The membrane surrounding the Golgi apparatus.		Apparatus golgiensis membrane, Complexus golgiensis membrane, Golgi complex membrane, Golgi membrane				Golgi apparatus membrane	SL-0132; Golgi apparatus; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:4503; annotated:655836
SL-0135	Golgi stack	Cellular component	GO:0005795:Golgi stack		The Golgi stack consist of a series of flattened curved and parallel series saccules, called cisternae or dictyosomes, that form the central portion of the Golgi complex. The stack usually comprises cis, medial, and trans cisternae; the cis- and trans-Golgi networks are not considered part of the stack.		Dictyosome, Golgi bodies, Golgi body			Compartment specific marker: Mannosidase II.	Golgi apparatus, Golgi stack	SL-0132; Golgi apparatus; LOCATION	reviewed:431; annotated:66770
SL-0136	Golgi stack membrane	Cellular component	GO:0032580:Golgi cisterna membrane	SL-0134; Golgi apparatus membrane; LOCATION	The membrane surrounding the Golgi stack.		Dictyosome membrane, Golgi bodies membrane, Golgi body membrane, Golgi cisterna membrane				Golgi apparatus, Golgi stack membrane	SL-0135; Golgi stack; LOCATION	reviewed:380; annotated:60062
SL-0137	Hemidesmosome	Cellular component	GO:0030056:hemidesmosome	SL-0038; Cell junction; LOCATION	The hemidesmosome is an integrin-containing adhesive junction located along the basal layer of cells where they abut the basement membrane zone. As the name implies, only half the desmosome is present; only one cell is participating, the second cell being represented by the basement membrane.			http://celljunctions.med.nyu.edu/hemidesmosomes/hemimain.html		Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction, hemidesmosome		reviewed:26; annotated:0
SL-0138	Cell cortex	Cellular component	GO:0005938:cell cortex		The cell cortex is the cytoplasmic region under the cell membrane.						Cytoplasm, cell cortex	SL-0086; Cytoplasm; LOCATION	reviewed:599; annotated:29389
SL-0139	Chloroplast nucleoid	Cellular component	GO:0042644:chloroplast nucleoid		The chloroplast nucleoid is the chloroplastic pseudocompartment formed by the chromatin-dense area. This region, which is functionally equivalent to the eukaryotic nucleus, is not surrounded by a membrane.		Chloroplastic nucleoid				Plastid, chloroplast stroma, chloroplast nucleoid	SL-0055; Chloroplast stroma; LOCATION	reviewed:29; annotated:709
SL-0140	Plastid nucleoid	Cellular component	GO:0042646:plastid nucleoid		The plastid nucleoid is the plastidic pseudocompartment formed by the chromatin-dense area. This region, which is functionally equivalent to the eukaryotic nucleus, is not surrounded by a membrane.		Plastidic nucleoid				Plastid stroma, plastid nucleoid	SL-0215; Plastid stroma; LOCATION	reviewed:0; annotated:0
SL-0141	Uropodium	Cellular component	GO:0001931:uropod	SL-0280; Cell projection; LOCATION	The uropodium is a rigid membrane projection with related cytoskeletal components at the trailing edge of a lymphocyte or other cell in the process of migrating or being activated, found on the opposite side of the cell from the lamellipodium or immunological synapse, respectively.		Uropod, Uropodia				Cell projection, uropodium		reviewed:14; annotated:0
SL-0142	Bacterial flagellum basal body	Cellular component	GO:0009425:bacterial-type flagellum basal body		The basal body of a bacterial flagellum is a rod and a system of rings embedded in the cell envelope. Gram-negative flagella usually have an L ring in the plane of the lipopolysaccharide in the outer membrane, a periplasmic P ring in the plane of the peptidoglycan around the flagellar rod and a MS ring that is located within and above the cytoplasmic membrane. A C ring extends into the cytoplasm. The rod is a major component of the flagellar basal body and it spans the bacterial periplasm. The L and P rings are not found in Gram-positive bacteria.		Bacterial flagellar basal body, Bacterial flagellar kinetosome, Bacterial flagellar motor				Bacterial flagellum basal body	SL-0307; Bacterial flagellum; LOCATION	reviewed:732; annotated:265888
SL-0143	Hyaline layer	Cellular component	GO:0033166:hyaline layer	SL-0111; Extracellular matrix; LOCATION	The hyaline layer is a multilayered extracellular matrix that coats the external surfaces of sea urchin and starfish embryos.						Secreted, extracellular space, extracellular matrix, hyaline layer		reviewed:1; annotated:0
SL-0144	Hydrogenosome membrane	Cellular component	GO:0046859:hydrogenosomal membrane	SL-0162; Membrane; LOCATION	The membrane surrounding the hydrogenosome, a redox organelle found in anaerobic unicellular eukaryotes.		Hydrogenosomal membrane				Hydrogenosome membrane	SL-0145; Hydrogenosome; LOCATION	reviewed:1; annotated:0
SL-0145	Hydrogenosome	Cellular component	GO:0042566:hydrogenosome		The hydrogenosome is a redox organelle of anaerobic unicellular eukaryotes which contains hydrogenase and produces hydrogen and ATP by glycolysis. They are found in various unrelated eukaryotes, such as anaerobic flagellates, chytridiomycete fungi and ciliates. Most hydrogenosomes lack a genome, but some like that of the anaerobic ciliate Nyctotherus ovalis, have retained a rudimentary genome.	KW-0377					Hydrogenosome		reviewed:16; annotated:0
SL-0146	Interphotoreceptor matrix	Cellular component	GO:0033165:interphotoreceptor matrix	SL-0111; Extracellular matrix; LOCATION	In vertebrates, the photoreceptors are separated from the retinal pigment epithelium by the subretinal space, which contains a specialized extracellular material referred to as interphotoreceptor matrix. The IPM mediates key interactions between the photoreceptors and RPE including adhesion, phagocytosis, outer segment stability, nutrient exchange, development, and vitamin A trafficking in the visual cycle.		IPM				Secreted, extracellular space, extracellular matrix, interphotoreceptor matrix		reviewed:33; annotated:3272
SL-0147	Endomembrane system	Cellular component	GO:0012505:endomembrane system	SL-0162; Membrane; LOCATION	A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi apparatus, vesicles and cell membrane and nuclear envelope. The endomembrane system does not include the membranes of mitochondria or plastids.		Endomembrane			Try to use a child/narrower/more specific term instead	Endomembrane system		reviewed:81400; annotated:18837146
SL-0148	Invadopodium	Cellular component		SL-0038; Cell junction; LOCATION, SL-0280; Cell projection; LOCATION	The invadopodium is a localized and persitent cell protrusion similar to the highly dynamic podosome, but larger. These structures protrudes into the extracellular matrix. Invadopodial protrusions are enriched in integrins, tyrosine kinase signaling machinery, soluble and membrane proteases including matrix metalloproteases, actin and actin- associated proteins. Essential for physiological and pathological cell invasion and metastasis these structures are involved in focalized degradation of the extracellular matrix. Invadopodia form underneath the cell body, often close to the nucleus and proximal to the Golgi complex, and are rarely found at the cell periphery. Their half-life is quite extended. As invadopodia and podosomes are similar in appearance, location and composition, it is likely that a thin line separates these two entities in time and function.		Invadopodia		PubMed=16546558,  DOI=10.1016/j.ejcb.2005.09.005		Cell projection, invadopodium		reviewed:57; annotated:5392
SL-0149	Kinetochore	Cellular component			The kinetochore is a protein complex assembled on the centromeric region of DNA. It provides the major attachment point for the spindle microtubules during mitotic or meiotic division to pull the chromosomes apart. In monocentric chromosomes, the kinetochores of point centromeres bind a single microtubule and the larger kinetochores of regional centromeres interact with a number of microtubules. In holocentric chromosomes, the kinetochores bind the diffuse centromere along the length of the chromosomes.	KW-0995					Chromosome, centromere, kinetochore	SL-0047; Centromere; LOCATION	reviewed:720; annotated:64400
SL-0150	Kinetoplast	Cellular component	GO:0020023:kinetoplast		The mitochondrial DNA of trypanosomatid protozoa is termed kinetoplast DNA (kDNA). kDNA is a massive network, composed of thousands of topologically interlocked DNA circles. Each cell contains one network condensed into a disk-shaped structure within the matrix of its single mitochondrion. The kDNA circles are of two types, maxicircles present in a few dozen copies and minicircles present in several thousand copies.	KW-0419					Mitochondrion matrix, kinetoplast	SL-0170; Mitochondrion matrix; LOCATION	reviewed:18; annotated:0
SL-0151	Late endosome membrane	Cellular component	GO:0031902:late endosome membrane	SL-0100; Endosome membrane; LOCATION	The membrane surrounding the late endosomes.		Late endosomal membrane				Late endosome membrane	SL-0152; Late endosome; LOCATION	reviewed:612; annotated:64311
SL-0152	Late endosome	Cellular component	GO:0005770:late endosome		Late endosomes are pleiomorphic with cisternal, tubular and multivesicular regions. They are found in juxtanuclear regions and concentrated at the microtubule organizing center. They are an important sorting station in the endocytic pathway. Recycling to the plasma membrane and to the Golgi occurs in late endosomes. More acidic than early endosomes they are also loaded more slowly in a range of 4 to 30 minutes depending on the cell type. They can be distinguished from lysosome for their enrichment in M6PR.					Compartment specific marker: Rab7; Rab9; LBPA.	Late endosome	SL-0101; Endosome; LOCATION	reviewed:1032; annotated:93920
SL-0153	Lateral cell membrane	Cellular component	GO:0016328:lateral plasma membrane		The portion of the plasma membrane at the lateral side of the cell.		Lateral plasma membrane				Lateral cell membrane	SL-0039; Cell membrane; LOCATION	reviewed:95; annotated:2881
SL-0154	Lipid droplet	Cellular component	GO:0005811:lipid droplet		The lipid droplet is a dynamic cytoplasmic organelle which consists of an heterogeneous macromolecular assembly of lipids and proteins covered by a unique phospholipid monolayer. Lipid droplets may play a role in lipid metabolism and storage, and they may be involved in the regulation of intracellular trafficking and signal transduction.	KW-0551	Adiposome, Lipid bodies, Lipid body, Lipid particle, Monolayer-surrounded lipid storage body, Oil bodies, Oil body, Oleosome, Spherosome				Lipid droplet		reviewed:463; annotated:30679
SL-0156	Lysosome lumen	Cellular component	GO:0043202:lysosomal lumen		The lumen of a lysosome is the volume enclosed within the lysosomal membrane.		Lysosomal lumen				Lysosome lumen	SL-0158; Lysosome; LOCATION	reviewed:69; annotated:6245
SL-0157	Lysosome membrane	Cellular component	GO:0005765:lysosomal membrane	SL-0162; Membrane; LOCATION	The membrane surrounding a lysosome.		Lysosomal membrane				Lysosome membrane	SL-0147; Endomembrane system; LOCATION, SL-0158; Lysosome; LOCATION	reviewed:1076; annotated:114789
SL-0158	Lysosome	Cellular component	GO:0005764:lysosome		The lysosome is a membrane-limited organelle present in all eukaryotic cells, which contains a large number of hydrolytic enzymes that are used for degrading almost any kind of cellular constituent, including entire organelles. The mechanisms responsible for delivering cytoplasmic cargo to the lysosome/vacuole are known collectively as autophagy and play an important role in the maintenance of homeostasis.	KW-0458				Compartment specific marker: LAMP-1; LAMP-2?.	Lysosome		reviewed:2001; annotated:181999
SL-0159	Lytic vacuole	Cellular component	GO:0000323:lytic vacuole	SL-0272; Vacuole; LOCATION	The lytic vacuole is a plant specialized vacuole equivalent to animal lysosomes or yeast vacuoles, functioning as compartments for degradation and waste storage.						Lytic vacuole		reviewed:4; annotated:0
SL-0160	Melanosome membrane	Cellular component	GO:0033162:melanosome membrane	SL-0162; Membrane; LOCATION	The membrane surrounding a melanosome.		Melanosomal membrane				Melanosome membrane	SL-0147; Endomembrane system; LOCATION, SL-0161; Melanosome; LOCATION	reviewed:80; annotated:12844
SL-0161	Melanosome	Cellular component	GO:0042470:melanosome		The melanosome is a melanin-containing organelle found in melanocytes and melanophores. Fish and amphibians possess specialized cells, called melanophores, which contain hundreds of melanin-filled pigment granules, termed melanosomes. The sole function of these cells is pigment aggregation in the center of the cell or dispersion throughout the cytoplasm. This alternative transport of pigment allows the animal to effect color changes important for camouflage and social interactions. Melanophores transport their pigment in response to extracellular cues: neurotransmitters in the case of fish and hormonal stimuli in the case of frogs. In both cases, melanosome dispersion is induced by elevation of intracellular cAMP levels, while aggregation is triggered by depression of cAMP. The regulatory mechanisms downstream of these second-messengers are poorly understood. Mammalian melanocytes also produce melanosomes but, unlike melanophores, pigment in these cells is transported to the cell periphery for subsequent exocytosis to surrounding epithelial cells.			http://www.proweb.org/kinesin/Melanophore.html			Melanosome		reviewed:514; annotated:29633
